batch_id,machine_id,shift,operator_experience_years,melt_temperature_c,mold_temperature_c,injection_pressure_bar,injection_speed_mm_s,screw_speed_rpm,back_pressure_bar,hold_pressure_bar,hold_time_s,cooling_time_s,cycle_time_s,material_moisture_pct,ambient_humidity_pct,part_weight_g,defect,defect_type
B101721,M1,Evening,0.0,250.35,57.44,135.13,73.09,131.3,21.04,73.66,4.68,15.12,25.69,0.1195,51.53,50.263,1,burn_mark
B101722,M4,Day,11.5,248.16,35.95,109.7,72.52,122.0,22.36,56.49,5.61,15.62,28.12,0.0259,60.5,49.209,0,none
B101723,M3,Evening,5.2,241.77,40.25,105.55,60.57,105.8,3.1,95.82,5.01,21.19,33.23,0.0584,50.27,50.569,1,short_shot
B101724,M2,Day,9.9,226.57,49.11,109.31,53.48,153.3,15.95,53.77,4.1,19.96,29.64,0.0602,56.04,49.704,0,none
B101725,M1,Day,3.1,224.8,66.35,111.69,80.74,119.0,17.82,58.58,5.17,15.08,28.13,0.0527,37.93,49.28,0,none
B101726,M2,Night,2.3,231.73,47.21,126.07,69.78,80.9,13.14,57.45,3.53,14.36,24.64,0.0334,63.95,49.871,0,none
B101727,M5,Day,14.9,235.61,46.84,121.04,47.56,150.8,17.71,72.38,3.59,14.33,23.49,0.0269,42.23,49.751,0,none
B101728,M1,Evening,3.2,217.32,55.36,103.57,66.81,125.5,20.62,82.17,3.58,5.89,16.08,0.0629,59.03,49.58,1,burn_mark
B101729,M2,Evening,11.6,239.95,55.37,119.58,72.56,147.9,8.51,76.31,8.01,21.48,36.53,0.0754,52.63,50.337,0,none
B101730,M5,Day,7.5,247.87,47.15,102.85,28.56,134.3,14.54,87.67,6.11,12.58,25.27,0.0368,51.36,50.404,0,none
B101731,M1,Night,5.3,240.76,74.86,129.65,46.16,179.8,21.83,60.07,6.39,20.27,32.87,0.0205,57.6,50.387,1,burn_mark
B101732,M4,Day,6.8,228.24,52.35,132.4,65.44,112.3,9.05,77.9,5.52,16.21,24.27,0.1786,28.6,50.013,0,none
B101733,M2,Day,1.8,227.06,56.14,119.64,31.13,120.4,13.54,66.36,6.26,22.96,34.25,0.0077,44.26,50.495,0,none
B101734,M5,Night,6.9,238.0,50.98,124.07,33.51,138.0,12.21,72.74,7.26,18.65,32.59,0.0276,57.46,50.011,0,none
B101735,M4,Evening,2.7,233.47,59.4,146.28,55.94,112.4,18.21,83.3,6.11,20.56,31.69,0.0192,69.22,51.066,0,none
B101736,M5,Evening,5.4,239.43,67.35,117.64,67.37,140.1,18.76,49.69,7.96,13.04,27.51,0.0438,49.76,49.676,0,none
B101737,M1,Day,10.7,241.02,71.64,105.84,68.07,46.3,14.65,93.89,5.44,9.57,21.9,0.0338,25.62,50.462,0,none
B101738,M3,Day,8.0,245.92,47.38,128.69,83.74,118.2,14.13,68.26,6.4,16.74,29.02,0.005,46.83,50.521,0,none
B101739,M4,Evening,1.1,223.68,66.01,103.01,61.23,117.4,7.12,50.72,6.56,6.41,17.21,0.0378,49.4,49.321,1,burn_mark
B101740,M1,Day,10.4,237.22,60.5,116.84,54.41,116.5,19.69,61.69,4.1,13.66,23.03,0.0907,61.09,49.722,0,none
B101741,M1,Day,7.0,231.37,64.75,111.02,40.39,98.1,12.59,71.23,5.56,10.05,22.3,0.182,50.48,50.71,1,burn_mark
B101742,M1,Night,4.8,234.01,54.08,109.47,54.23,142.7,13.43,61.68,2.74,11.8,21.8,0.0565,37.23,49.941,0,none
B101743,M5,Day,10.0,243.64,53.13,116.25,70.61,107.4,17.89,45.43,5.31,18.98,28.2,0.0121,59.63,49.296,0,none
B101744,M4,Day,6.3,244.73,64.36,133.5,71.29,125.0,14.79,71.16,5.08,18.65,29.81,0.0149,55.68,50.36,0,none
B101745,M3,Day,2.3,248.98,64.55,136.59,63.97,119.1,18.02,61.34,4.99,15.19,24.71,0.1083,43.01,50.761,0,none
B101746,M4,Evening,14.4,239.26,70.66,133.89,68.21,132.5,16.41,77.81,4.89,17.6,28.58,0.217,57.2,50.391,1,burn_mark
B101747,M3,Evening,6.9,233.9,56.99,125.05,79.15,155.8,14.82,57.18,6.27,13.3,25.41,0.0467,44.53,49.24,0,none
B101748,M2,Night,6.7,232.47,53.93,116.13,61.13,124.9,15.24,97.14,4.17,28.13,40.66,0.0102,47.02,50.406,0,none
B101749,M2,Day,5.4,217.65,30.4,84.63,80.51,141.0,9.51,76.16,8.29,17.5,31.26,0.0505,44.7,47.802,1,short_shot
B101750,M3,Day,11.7,248.4,38.89,125.51,49.1,123.6,13.4,72.36,6.35,13.05,26.45,0.0947,46.9,50.648,0,none
B101751,M1,Evening,4.9,231.78,51.06,85.81,58.9,107.3,18.34,77.48,4.3,20.38,31.68,0.0207,59.07,49.31,1,short_shot
B101752,M5,Day,0.8,240.06,43.99,91.15,52.79,116.5,10.41,48.14,6.47,22.2,34.48,0.0465,32.14,48.752,0,none
B101753,M4,Evening,4.3,241.79,63.14,117.57,71.89,112.9,11.14,64.04,6.99,12.13,25.24,0.0059,61.04,50.193,0,none
B101754,M2,Night,12.3,222.55,41.9,123.97,44.78,134.2,10.48,91.4,6.05,8.91,20.96,0.012,51.76,50.811,0,none
B101755,M3,Evening,10.3,225.77,49.99,113.23,55.17,122.7,14.61,66.16,3.99,9.9,19.15,0.0065,46.1,49.273,1,burn_mark
B101756,M1,Evening,6.0,250.47,50.38,143.03,32.1,100.1,19.61,69.25,8.86,12.65,26.68,0.146,50.21,51.202,1,burn_mark
B101757,M5,Night,12.5,237.9,67.05,126.93,68.92,114.5,16.19,64.4,6.46,15.73,27.78,0.0844,40.91,49.869,1,flash
B101758,M5,Day,10.0,229.19,48.92,116.26,78.7,81.9,5.29,87.57,3.63,7.85,16.34,0.0486,33.68,49.852,0,none
B101759,M5,Night,5.9,233.74,59.52,140.79,73.66,115.4,16.59,67.06,5.81,13.91,25.22,0.0596,41.19,50.811,0,none
B101760,M2,Evening,6.3,245.86,56.96,143.48,72.19,120.0,12.23,54.98,5.17,14.96,25.93,0.0074,31.05,50.664,0,none
B101761,M1,Evening,8.3,244.34,64.03,127.69,72.59,165.2,16.04,100.95,5.51,17.62,29.3,0.005,36.47,50.613,0,none
B101762,M1,Night,3.7,220.34,63.5,108.37,70.5,153.7,13.4,53.5,3.71,19.06,29.21,0.0111,33.77,49.075,0,none
B101763,M1,Evening,7.0,251.34,54.67,111.75,69.22,94.1,10.56,68.83,5.58,18.01,29.39,0.0082,62.24,49.617,0,none
B101764,M1,Evening,8.2,244.66,38.04,98.3,70.18,125.0,13.71,59.9,4.25,24.96,34.44,0.0933,37.16,49.02,0,none
B101765,M1,Day,0.3,233.48,52.68,119.36,50.16,125.5,12.23,61.58,4.98,21.47,32.87,0.005,49.59,50.427,0,none
B101766,M5,Evening,6.2,223.08,54.8,104.25,57.0,114.2,15.23,57.28,6.08,17.11,29.98,0.1635,61.17,50.016,0,none
B101767,M1,Evening,5.8,245.54,57.86,115.06,61.05,115.8,10.46,63.52,4.79,11.15,21.45,0.1983,58.5,50.493,1,burn_mark
B101768,M1,Day,11.1,239.76,47.62,123.91,54.96,111.2,9.5,81.81,5.06,12.62,22.7,0.0302,47.05,50.572,0,none
B101769,M4,Evening,0.0,220.42,66.41,90.24,36.51,166.8,16.93,47.18,6.73,8.86,21.14,0.2237,47.09,48.732,1,burn_mark
B101770,M3,Evening,5.5,232.68,55.14,101.04,41.47,109.6,18.44,85.13,4.17,16.77,26.75,0.0713,51.8,50.241,0,none
B101771,M4,Day,5.1,265.0,45.8,112.4,63.45,128.5,16.32,83.06,4.53,17.66,29.33,0.0446,71.12,50.484,1,burn_mark
B101772,M3,Day,10.8,235.17,50.42,119.21,73.59,56.8,11.4,76.11,3.62,20.46,30.78,0.0118,54.13,49.466,0,none
B101773,M5,Evening,6.8,227.58,74.29,112.59,60.14,140.6,11.04,71.51,4.27,17.34,27.6,0.035,56.68,50.332,0,none
B101774,M3,Day,14.2,224.92,61.64,115.94,101.47,149.6,11.27,73.32,5.69,21.27,34.86,0.0107,72.66,48.963,1,flash
B101775,M3,Day,9.6,252.72,65.48,109.41,46.2,93.7,17.56,87.08,6.46,21.37,33.8,0.0883,52.78,50.85,1,burn_mark
B101776,M4,Evening,5.4,243.48,44.58,98.26,66.67,107.2,10.7,49.05,4.29,10.86,22.56,0.0422,61.48,49.255,0,none
B101777,M2,Day,8.0,249.07,48.11,111.98,79.37,131.3,17.54,78.73,6.41,13.41,27.05,0.1156,54.78,50.602,0,none
B101778,M2,Day,5.6,237.48,48.19,116.8,75.99,120.5,16.55,61.05,5.66,15.94,28.75,0.006,54.63,49.904,0,none
B101779,M2,Evening,10.4,247.54,56.84,115.34,69.83,131.7,18.95,79.91,3.43,12.47,22.22,0.1302,40.37,49.943,0,none
B101780,M1,Day,1.7,226.52,53.26,121.68,76.05,112.8,18.25,62.64,5.76,14.78,26.66,0.0946,38.71,49.995,0,none
B101781,M4,Night,3.7,236.63,50.11,126.28,60.83,166.6,16.17,78.48,7.29,17.51,30.8,0.0086,44.88,50.247,0,none
B101782,M2,Night,8.8,237.87,51.36,130.23,84.94,103.3,8.13,51.42,2.66,15.38,24.9,0.057,58.82,49.387,1,short_shot
B101783,M1,Evening,11.9,248.82,47.06,110.5,79.25,187.3,16.44,49.69,8.51,16.0,29.72,0.2837,58.34,48.683,1,burn_mark
B101784,M1,Night,0.0,238.19,53.2,96.36,47.22,151.0,14.46,68.64,4.58,11.29,21.61,0.0756,63.33,49.396,0,none
B101785,M4,Night,12.5,228.74,66.13,139.07,64.82,140.8,12.51,87.23,3.03,18.53,29.23,0.0148,49.89,50.184,0,none
B101786,M2,Day,6.4,235.64,39.87,125.78,36.79,94.0,19.45,76.44,5.71,18.17,30.5,0.0959,55.38,51.047,0,none
B101787,M3,Evening,0.0,218.24,58.46,105.68,82.83,142.7,13.39,76.35,6.75,12.19,25.89,0.043,55.42,48.668,1,burn_mark
B101788,M5,Day,0.0,211.79,68.8,124.17,63.36,135.1,11.88,80.32,5.08,9.53,19.39,0.0258,48.93,49.817,1,burn_mark
B101789,M1,Evening,0.9,243.31,53.17,136.02,80.23,67.0,18.5,65.24,5.97,22.15,33.69,0.0211,46.78,50.19,0,none
B101790,M4,Evening,6.9,231.25,49.71,145.94,58.36,84.9,12.38,77.33,8.68,24.74,39.75,0.1718,35.15,50.945,0,none
B101791,M2,Day,6.7,232.39,64.24,123.76,32.16,128.9,11.68,63.04,5.81,17.17,28.94,0.0059,48.47,49.909,0,none
B101792,M1,Day,9.5,243.31,45.16,135.9,99.56,116.7,9.49,66.23,9.97,14.19,28.94,0.005,48.96,50.528,1,flash
B101793,M3,Night,4.8,248.97,54.77,101.86,61.97,107.1,10.72,67.72,7.4,21.23,35.39,0.3333,61.34,49.657,1,burn_mark
B101794,M5,Day,2.6,240.34,44.6,119.46,45.0,147.0,11.06,63.45,5.58,18.35,31.01,0.1882,62.33,50.077,0,none
B101795,M2,Day,5.3,254.28,36.3,114.97,77.19,97.9,16.48,69.21,5.94,14.95,26.6,0.062,51.46,49.723,1,burn_mark
B101796,M3,Day,7.1,240.03,53.48,125.14,90.54,108.6,9.92,66.95,5.02,20.84,32.66,0.0787,70.63,50.055,0,none
B101797,M2,Evening,7.9,238.02,42.37,144.17,56.96,103.8,6.57,61.51,5.87,11.95,25.86,0.029,51.9,51.12,0,none
B101798,M3,Night,3.8,237.4,54.88,123.75,58.51,132.8,15.21,68.31,6.34,12.55,26.41,0.0298,60.33,51.073,0,none
B101799,M3,Night,10.6,222.15,66.15,105.93,63.57,77.0,11.46,71.86,4.89,17.82,28.47,0.2488,49.0,49.057,1,burn_mark
B101800,M3,Evening,4.5,244.56,73.54,101.05,43.34,107.6,13.93,56.8,3.43,16.57,24.9,0.0644,38.6,49.43,1,burn_mark
B101801,M3,Day,3.5,210.55,55.94,144.69,49.64,76.9,19.13,75.01,7.48,19.19,32.9,0.005,45.75,49.91,0,none
B101802,M1,Day,4.8,229.14,65.19,127.71,86.73,112.2,14.29,64.08,6.96,21.97,37.27,0.0167,64.74,49.995,0,none
B101803,M3,Evening,11.3,235.23,58.99,126.72,58.02,138.1,20.04,72.38,3.37,8.24,18.95,0.1336,47.36,49.795,0,none
B101804,M3,Night,6.5,227.1,51.17,114.84,47.44,138.5,13.73,62.02,5.76,16.19,27.95,0.005,45.34,49.789,0,none
B101805,M3,Evening,4.2,230.48,35.75,124.02,53.22,101.8,18.03,82.61,7.04,25.51,40.11,0.0146,49.96,50.805,0,none
B101806,M1,Evening,10.7,253.39,71.26,105.2,76.09,133.3,11.81,81.47,6.89,13.02,27.07,0.005,46.11,49.756,1,burn_mark
B101807,M2,Evening,15.6,246.04,44.51,125.81,30.36,115.4,14.43,57.41,4.46,12.43,20.99,0.0207,61.94,50.058,0,none
B101808,M2,Evening,7.8,228.14,68.83,102.38,63.82,154.0,10.27,76.3,6.97,4.8,18.83,0.005,68.85,49.918,1,warpage
B101809,M1,Evening,11.9,230.3,60.37,114.61,96.93,116.8,10.74,87.36,5.52,16.51,28.15,0.0538,50.06,49.994,0,none
B101810,M1,Evening,11.1,222.23,45.24,110.36,90.47,45.7,13.1,58.62,6.08,18.9,30.12,0.0263,55.4,48.591,1,burn_mark
B101811,M2,Evening,4.6,242.05,58.12,71.14,68.6,142.4,8.69,59.57,4.12,18.89,29.1,0.1063,59.72,48.394,1,short_shot
B101812,M4,Evening,7.1,232.5,76.33,114.8,79.75,108.5,14.64,78.82,1.5,10.81,18.73,0.06,51.09,49.487,0,none
B101813,M1,Night,1.9,215.34,70.36,106.52,79.6,113.1,12.79,54.31,4.33,15.96,25.5,0.0849,41.22,49.162,1,burn_mark
B101814,M4,Evening,6.2,236.01,49.87,116.84,58.11,128.4,14.94,60.67,6.3,17.11,29.29,0.0659,45.91,49.796,0,none
B101815,M3,Day,4.5,239.39,47.88,120.03,73.87,84.4,8.75,57.82,5.19,16.26,27.12,0.0872,54.12,50.219,0,none
B101816,M4,Day,5.4,244.63,56.0,146.52,86.83,121.9,16.81,78.97,6.48,10.53,23.8,0.1536,53.94,50.525,1,burn_mark
B101817,M2,Evening,4.0,234.27,53.34,124.57,41.04,133.4,20.79,61.69,7.16,16.39,29.24,0.1616,32.08,50.229,1,burn_mark
B101818,M2,Evening,5.9,231.27,67.0,125.01,68.65,129.1,19.95,66.58,5.0,11.93,21.23,0.0667,45.63,49.935,0,none
B101819,M3,Evening,9.1,254.86,62.4,127.43,65.42,105.0,21.62,61.02,4.86,6.64,17.05,0.0219,42.63,50.376,0,none
B101820,M5,Evening,6.5,235.07,38.08,133.08,61.55,144.8,14.17,83.78,2.22,19.41,26.68,0.0478,58.82,50.455,0,none
B101821,M2,Day,0.0,242.2,59.59,126.81,60.22,95.1,12.59,59.69,3.18,16.7,24.58,0.1152,43.02,49.316,1,burn_mark
B101822,M3,Evening,4.0,229.6,53.21,124.23,63.48,104.4,15.95,53.11,3.49,18.96,29.63,0.0495,45.39,49.911,0,none
B101823,M3,Evening,0.9,241.9,55.37,130.67,64.73,116.6,13.05,52.64,6.33,13.33,26.47,0.0066,45.04,50.048,0,none
B101824,M4,Evening,8.0,220.44,57.49,83.6,76.78,127.4,7.04,78.32,5.02,19.13,29.18,0.024,57.91,48.397,1,short_shot
B101825,M1,Evening,9.0,230.38,66.99,151.34,67.15,111.9,17.28,79.19,4.7,21.11,30.54,0.03,59.69,50.807,0,none
B101826,M3,Day,8.0,222.92,64.78,143.85,57.33,150.7,13.06,84.98,4.53,24.77,35.19,0.0393,54.94,50.451,1,short_shot
B101827,M2,Evening,3.9,228.95,47.5,123.26,47.4,127.4,8.13,54.87,4.33,20.07,29.08,0.135,61.06,49.18,0,none
B101828,M5,Night,8.0,247.5,54.41,98.8,52.91,121.9,11.97,67.23,6.89,17.92,30.57,0.1751,62.35,49.931,1,burn_mark
B101829,M2,Night,5.1,228.88,50.51,138.16,63.92,126.5,13.15,99.13,5.64,9.1,20.81,0.0228,31.9,51.196,0,none
B101830,M2,Evening,2.4,242.18,38.18,109.59,49.41,138.3,14.05,66.37,6.99,15.47,28.76,0.0339,55.92,49.356,0,none
B101831,M5,Day,10.0,250.17,53.91,128.01,74.19,126.0,14.1,63.24,2.21,8.89,17.44,0.0244,46.3,51.074,1,burn_mark
B101832,M2,Evening,10.3,234.72,73.45,100.76,66.45,74.8,19.48,69.75,6.3,11.91,23.42,0.0483,37.43,48.955,0,none
B101833,M1,Evening,10.8,244.94,37.88,153.4,77.15,147.2,8.85,76.36,4.77,25.78,36.62,0.0564,46.8,51.357,1,short_shot
B101834,M1,Day,4.6,240.31,54.76,98.37,50.42,123.0,13.39,76.16,5.08,10.88,23.24,0.035,57.31,49.651,0,none
B101835,M1,Night,11.7,236.16,54.44,121.03,47.53,137.1,10.48,62.63,7.53,4.29,15.72,0.0239,64.55,49.584,1,warpage
B101836,M1,Day,5.0,242.5,57.88,88.17,77.04,109.9,19.02,62.98,4.92,20.07,31.31,0.0073,36.55,48.969,0,none
B101837,M2,Day,9.6,253.4,45.37,119.38,61.95,74.3,11.75,66.44,6.24,12.63,23.69,0.005,56.18,50.102,0,none
B101838,M4,Day,5.0,228.63,40.75,113.62,56.96,63.0,12.62,61.24,3.97,19.84,31.22,0.0456,69.66,49.345,1,burn_mark
B101839,M4,Day,6.1,225.41,41.21,137.06,70.48,96.4,18.2,55.18,5.55,10.15,22.52,0.0058,68.31,50.428,1,warpage
B101840,M1,Night,0.0,224.82,68.31,113.62,69.92,132.9,19.3,91.7,3.11,13.87,23.77,0.1196,25.0,50.209,1,burn_mark
B101841,M3,Evening,5.8,244.94,45.17,137.08,41.16,152.4,19.89,65.12,5.41,21.98,32.54,0.005,71.79,51.004,0,none
B101842,M1,Day,7.4,246.29,50.0,104.64,80.77,127.5,7.43,65.8,6.08,9.39,21.73,0.0834,59.61,49.341,1,burn_mark
B101843,M5,Evening,5.4,229.63,76.05,115.77,53.84,93.7,15.93,66.17,7.16,15.15,28.69,0.0336,26.93,49.901,0,none
B101844,M1,Day,14.0,213.64,47.66,116.07,85.5,100.4,15.08,69.03,4.27,17.46,25.36,0.1691,42.34,49.278,1,burn_mark
B101845,M3,Day,2.4,228.25,58.42,127.43,40.0,154.0,13.8,75.22,4.71,12.4,23.26,0.1112,62.58,50.601,0,none
B101846,M2,Day,4.7,240.48,65.64,125.53,64.76,87.2,14.27,64.42,4.53,17.21,28.36,0.199,53.6,49.749,1,burn_mark
B101847,M3,Evening,3.4,234.33,65.16,130.83,57.22,172.5,19.14,83.67,5.12,16.08,25.78,0.0602,44.26,49.785,0,none
B101848,M2,Day,4.7,236.8,41.68,124.0,30.37,166.9,18.15,77.17,4.05,18.67,29.33,0.1487,50.66,51.062,0,none
B101849,M4,Night,11.1,229.77,47.87,129.92,69.87,173.4,17.59,67.71,2.26,25.21,33.57,0.005,55.46,50.069,0,none
B101850,M1,Day,12.9,245.14,58.02,106.53,31.14,129.5,14.83,62.01,3.94,29.38,40.69,0.0174,44.21,50.077,0,none
B101851,M5,Evening,4.2,238.43,74.29,125.83,55.62,111.5,23.08,83.02,5.43,18.32,29.33,0.0567,48.73,50.291,0,none
B101852,M3,Night,4.1,240.86,47.38,144.12,76.56,128.9,12.4,68.06,5.28,15.45,26.9,0.0702,58.97,50.529,0,none
B101853,M4,Day,2.4,236.59,50.06,94.8,52.05,142.7,7.54,55.09,6.33,18.2,30.87,0.0752,42.99,49.581,0,none
B101854,M4,Day,12.2,240.24,59.2,127.34,46.44,103.7,12.94,82.25,6.76,14.84,24.79,0.005,36.43,50.807,0,none
B101855,M5,Night,11.5,239.59,61.2,130.15,72.01,92.5,14.23,61.28,4.83,8.06,18.53,0.0134,43.63,50.851,1,warpage
B101856,M1,Evening,6.6,225.72,61.8,141.92,56.26,112.9,19.21,80.42,3.12,15.77,24.97,0.1609,41.11,51.076,1,burn_mark
B101857,M2,Evening,1.4,238.73,46.54,130.89,53.92,100.7,11.96,39.83,6.1,21.41,31.16,0.0337,43.95,49.606,0,none
B101858,M2,Day,1.8,242.92,49.68,121.5,79.12,151.0,15.96,65.58,5.49,8.68,20.84,0.1271,32.73,50.039,1,burn_mark
B101859,M2,Day,7.7,246.55,57.16,126.45,42.49,104.6,8.09,83.92,5.11,11.08,22.28,0.02,52.36,51.409,1,burn_mark
B101860,M3,Evening,9.2,239.16,67.62,108.97,53.11,122.4,18.33,70.06,7.33,13.09,26.5,0.0514,58.68,49.879,0,none
B101861,M5,Night,0.0,225.35,52.62,114.18,73.0,144.6,14.27,77.18,6.18,17.86,30.76,0.05,41.88,49.92,1,burn_mark
B101862,M5,Day,5.7,226.89,54.78,99.96,41.52,152.0,12.88,59.18,5.68,27.88,39.16,0.0748,43.48,49.74,0,none
B101863,M3,Night,13.5,230.65,44.74,142.31,86.63,125.2,22.53,74.17,5.75,11.95,23.74,0.3348,48.13,49.6,1,burn_mark
B101864,M3,Evening,6.1,236.89,73.63,126.75,56.75,129.6,18.28,70.05,6.77,16.46,30.1,0.0054,40.89,50.51,0,none
B101865,M5,Day,13.0,233.78,56.54,106.26,73.12,94.6,9.84,72.92,4.47,16.03,26.55,0.0186,59.84,49.968,0,none
B101866,M5,Day,9.6,223.76,65.78,124.07,73.09,145.6,13.56,94.47,4.18,14.49,22.83,0.0998,41.11,50.043,1,burn_mark
B101867,M1,Day,2.7,223.7,55.3,137.39,57.72,151.6,24.95,85.66,5.15,15.76,26.96,0.0192,44.74,51.054,0,none
B101868,M3,Evening,5.8,214.01,55.85,134.89,52.81,73.2,21.92,79.5,3.73,13.68,23.47,0.005,42.37,50.392,1,burn_mark
B101869,M4,Evening,6.5,203.81,40.0,106.09,59.36,164.1,17.69,79.66,5.43,29.71,42.05,0.0851,60.07,48.722,1,burn_mark
B101870,M2,Evening,3.2,233.68,33.49,72.99,70.69,102.5,6.61,59.09,5.65,19.75,31.05,0.1054,47.69,48.522,0,none
B101871,M2,Day,3.1,258.2,67.52,125.93,45.2,134.9,19.33,64.35,5.4,13.72,24.14,0.005,69.93,50.557,0,none
B101872,M5,Evening,13.0,252.97,55.78,106.7,41.95,121.9,11.46,51.61,4.96,21.92,31.9,0.1434,53.54,49.657,1,burn_mark
B101873,M5,Evening,3.1,225.22,57.06,129.33,82.26,118.5,19.29,54.76,7.98,17.28,32.71,0.0155,61.58,49.832,0,none
B101874,M5,Evening,11.3,236.5,42.51,134.25,48.98,114.8,11.11,59.36,6.91,16.29,29.49,0.0085,46.76,50.015,0,none
B101875,M4,Evening,5.3,220.35,45.97,136.7,65.31,95.2,15.96,69.65,5.35,15.09,27.84,0.0316,40.57,50.491,1,burn_mark
B101876,M2,Day,6.9,221.88,65.62,146.17,56.97,133.1,11.44,55.3,5.64,14.75,27.93,0.0598,49.67,50.005,1,burn_mark
B101877,M2,Evening,9.2,223.03,72.4,138.55,57.63,112.8,12.55,69.53,7.56,9.9,22.72,0.1487,43.21,50.921,1,burn_mark
B101878,M3,Day,4.6,232.75,48.79,146.24,81.46,87.3,16.49,68.15,4.62,7.63,17.43,0.0515,30.01,50.901,0,none
B101879,M3,Day,9.3,233.18,61.71,140.69,58.72,94.1,8.72,56.39,4.05,17.85,27.78,0.1,60.14,50.872,1,short_shot
B101880,M3,Day,0.0,237.53,56.9,141.99,54.65,87.7,23.49,88.31,5.84,15.04,27.49,0.0249,50.33,51.28,0,none
B101881,M3,Evening,8.8,241.63,53.79,119.39,55.95,106.9,9.89,54.11,6.12,20.39,31.11,0.0459,43.0,49.655,0,none
B101882,M2,Evening,0.0,231.63,73.52,100.66,52.45,132.1,9.67,83.41,6.23,11.55,24.24,0.0659,53.76,49.461,1,flash
B101883,M4,Day,6.1,235.36,50.47,157.23,49.95,102.2,16.5,42.95,6.74,10.51,23.66,0.0965,50.47,50.409,1,short_shot
B101884,M2,Night,10.4,224.06,67.41,120.94,52.51,144.4,19.17,68.29,4.4,19.88,29.16,0.1138,64.1,49.845,0,none
B101885,M2,Night,9.5,221.56,58.81,138.43,84.95,117.0,12.71,55.63,3.39,14.52,22.82,0.0189,54.33,49.574,0,none
B101886,M1,Day,1.8,220.01,54.83,111.75,70.67,112.8,9.71,62.15,4.62,20.28,31.35,0.0189,48.43,49.377,0,none
B101887,M1,Evening,2.3,241.49,68.72,134.46,54.82,120.4,10.31,91.72,6.37,16.17,30.61,0.2904,56.93,50.735,1,burn_mark
B101888,M5,Day,4.2,231.62,57.9,83.33,74.72,154.9,9.88,65.84,4.12,25.39,35.21,0.1334,49.64,48.401,0,none
B101889,M2,Night,7.7,216.29,54.04,113.84,36.19,85.7,15.23,56.75,2.6,19.78,28.71,0.1086,51.84,49.374,0,none
B101890,M1,Day,0.0,234.37,68.79,118.52,80.64,161.4,13.72,75.85,5.72,18.05,29.16,0.0238,62.26,49.585,0,none
B101891,M4,Day,6.9,222.51,67.49,126.94,79.43,144.0,15.7,65.73,4.65,20.0,30.89,0.005,38.31,49.621,0,none
B101892,M3,Evening,8.2,251.6,67.02,136.08,93.55,119.5,15.46,71.81,2.91,14.64,22.92,0.0291,41.37,50.637,1,burn_mark
B101893,M1,Day,5.9,229.21,25.0,103.59,75.17,149.6,17.3,59.03,5.61,7.79,19.14,0.035,45.81,48.74,0,none
B101894,M2,Evening,9.1,241.82,59.4,129.9,66.56,111.9,12.36,59.62,4.92,17.8,31.17,0.0368,47.27,49.705,1,burn_mark
B101895,M1,Evening,7.9,245.89,57.12,138.4,79.37,127.1,11.05,60.55,8.01,25.71,39.83,0.005,61.57,50.27,0,none
B101896,M3,Day,4.8,225.45,54.65,155.19,50.61,106.5,14.63,79.58,5.63,4.55,14.62,0.042,35.85,50.799,1,warpage
B101897,M2,Evening,0.0,235.76,61.1,130.6,54.07,144.2,13.78,67.28,6.38,18.35,31.37,0.0618,49.71,50.802,0,none
B101898,M1,Night,7.5,240.53,57.61,113.11,59.04,102.3,15.01,57.42,5.47,8.32,20.93,0.032,44.49,49.39,0,none
B101899,M1,Night,3.2,236.16,61.78,100.92,80.53,118.7,11.15,71.94,4.6,15.88,27.16,0.027,67.0,49.295,0,none
B101900,M3,Evening,4.7,238.61,52.32,147.44,47.16,137.0,16.57,70.95,4.77,16.4,26.99,0.2069,58.84,51.184,0,none
B101901,M1,Day,8.9,221.7,69.98,131.06,45.57,146.2,9.29,76.88,7.12,19.73,31.94,0.0361,52.39,49.973,0,none
B101902,M4,Day,12.7,240.54,62.79,119.67,63.55,99.5,12.24,64.22,6.62,17.05,28.78,0.0478,59.69,49.626,0,none
B101903,M1,Night,6.8,230.14,60.43,95.7,70.76,138.8,18.52,69.07,3.27,22.87,31.94,0.005,36.81,48.851,0,none
B101904,M3,Evening,9.2,238.49,59.94,106.03,49.45,95.5,9.47,75.06,3.63,21.83,31.09,0.0407,70.28,50.114,0,none
B101905,M2,Evening,1.2,244.2,66.57,129.47,70.06,66.2,18.2,57.89,3.71,15.02,24.17,0.0372,41.58,50.72,0,none
B101906,M2,Night,8.0,241.69,65.22,125.31,80.53,101.3,8.36,80.63,7.09,21.47,35.78,0.005,62.57,50.917,0,none
B101907,M1,Day,6.8,238.49,53.87,90.81,78.01,140.9,7.66,70.2,2.9,14.44,24.26,0.1646,55.52,49.446,0,none
B101908,M4,Evening,11.9,241.42,64.9,129.49,65.3,119.7,8.02,56.79,6.68,13.58,27.52,0.034,52.64,49.63,0,none
B101909,M5,Day,4.8,241.88,56.74,96.47,58.64,106.6,14.47,56.7,6.1,9.98,21.29,0.0228,62.15,48.838,1,short_shot
B101910,M1,Day,6.0,249.96,74.17,140.31,86.03,121.4,16.92,68.81,5.72,22.56,33.36,0.115,59.97,51.035,1,burn_mark
B101911,M1,Evening,11.2,234.66,65.98,123.13,60.23,120.6,19.17,63.4,4.79,14.5,25.37,0.0837,51.07,50.488,0,none
